,,,,,,
Macbook type,Screen Size,EMC,Model Number,Date,Model ID,Board Number
MacBook Pro Retina,13,EMC 2557,A1425,Late 2012,"MacBookPro10,2",820-3462
MacBook Pro Retina,13,EMC 2672,A1425,Early 2013,"MacBookPro10,2",820-3190
MacBook Pro Retina,13,EMC 2678,A1502,Late 2013,"MacBookPro11,1","820-3476, 820-3536"
MacBook Pro Retina,13,EMC 2875,A1502,Mid 2014,"MacBookPro11,1",820-3476
MacBook Pro Retina,13,EMC 2835,A1502,Early 2015,"MacBookPro12,1",820-4924
MacBook Pro Retina,13,EMC 2978,A1708,2016 2xTBT3 No TB,"MacBookPro13,1",820-00875
MacBook Pro Retina,13,EMC 3071,A1706,2016 4xTBT3 TB,"MacBookPro13,2",820-00239
MacBook Pro Retina,13,EMC 3164,A1708,Mid 2017 2xTBT3 No TB,"MacBookPro14,1",820-00840
MacBook Pro Retina,13,EMC 3163,A1706,Mid 2017 4xTBT3 TB,"MacBookPro14,2",820-00923
MacBook Pro Retina,13,EMC 3124,A1989,2018 4xTBT3 TB,"MacBookPro15,2",820-00850
MacBook Pro Retina,13,EMC 3358,A1989,2019 4xTBT3 TB,"MacBookPro15,2",820-00850
MacBook Pro Retina,13,EMC 3301,A2159,2019 2xTBT3 TB,"MacBookPro15,4",820-01598
MacBook Pro Retina,13,EMC 3456,A2289,2020 2xTBT3 TB,"MacBookPro16,3",820-01987
MacBook Pro Retina,13,EMC 3348,A2251,2020 4XTBT3 TB,"MacBookPro16,2",820-01949
MacBook Pro Retina,13,EMC 8162,A2338,Late 2020 M1,"MacBookPro17,1",820-02020
MacBook Pro Retina,13,EMC 8162,A2338,Mid 2022 M2,"Mac14,7",820-02773
MacBook Pro Retina,14,EMC 3650,A2442,Late 2021 M1,"MacBookPro18,3",820-02098
MacBook Pro Retina,14,EMC 3650,A2442,Late 2021 M1,"MacBookPro18,4",820-02098
MacBook Pro Retina,15,EMC 2512,A1398,Mid 2012,"MacBookPro10,1",820-3332
MacBook Pro Retina,15,EMC 2673,A1398,Early 2013,"MacBookPro10,1",820-3332
MacBook Pro Retina,15,EMC 2674,A1398,Late 2013,"MacBookPro11,2",820-3662
MacBook Pro Retina,15,EMC 2876,A1398,Late 2013,"MacBookPro11,2",820-3787
MacBook Pro Retina,15,EMC 2745,A1398,Mid 2014,"MacBookPro11,3",820-3662
MacBook Pro Retina,15,EMC 2881,A1398,Mid 2014,"MacBookPro11,3",820-3787
MacBook Pro Retina,15,EMC 2909,A1398,Mid 2015,"MacBookPro11,4",820-00138
MacBook Pro Retina,15,EMC 2910,A1398,Mid 2015,"MacBookPro11,5","820-00163, 820-00426"
MacBook Pro Retina,15,EMC 3072,A1707,Late 2016,"MacBookPro13,3",820-00281
MacBook Pro Retina,15,EMC 3162,A1707,Mid 2017,"MacBookPro14,3",820-00928
MacBook Pro Retina,15,EMC3215,A1990,Mid 2018,"MacBookPro15,1",820-01041
MacBook Pro Retina,15,EMC3215,A1990,Mid 2018,"MacBookPro15,3",820-01041
MacBook Pro Retina,15,EMC 3359,A1990,2019,"MacBookPro15,1",820-01814
MacBook Pro Retina,15,EMC 3359,A1990,2019,"MacBookPro15,3",820-01814
MacBook Pro Retina,16,EMC 3347,A2141,2019,"MacBookPro16,1",820-01700
MacBook Pro Retina,16,EMC 3651,A2485,Late 2021 M1,"MacBookProXX,X",820-02100
MacBook Pro Retina,16,EMC 3651,A2485,Late 2021 M1,"MacBookPro18,1",820-02382
MacBook Pro Retina,16,EMC 3651,A2485,Late 2021 M1,"MacBookPro18,2",820-02382
MacBook Air,11,EMC 2393,A1370,Late 2010,"MacBookAir3,1",820-2796
MacBook Air,11,EMC 2471,A1370,Mid 2011,"MacBookAir4,1",820-3024
MacBook Air,11,EMC 2558,A1465,Mid 2012,"MacBookAir5,1",820-3208
MacBook Air,11,EMC 2631,A1465,Mid 2013,"MacBookAir6,1",820-3435
MacBook Air,11,EMC 2631,A1465,Early 2014,"MacBookAir6,1",820-3435
MacBook Air,11,EMC 2924,A1465,Early 2015,"MacBookAir7,1",820-00164
MacBook Air,13,EMC 2334,A1304,Mid 2009,"MacBookAir2,1",820-2375
MacBook Air,13,EMC 2392,A1369,Late 2010,"MacBookAir3,2",820-2838
MacBook Air,13,EMC 2469,A1369,Mid 2011,"MacBookAir4,2",820-3023
MacBook Air,13,EMC 2559,A1466,Mid 2012,"MacBookAir5,2",820-3209
MacBook Air,13,EMC 2632,A1466,Mid 2013,"MacBookAir6,2",820-3437
MacBook Air,13,EMC 2632,A1466,Early 2014,"MacBookAir6,2",820-3437
MacBook Air,13,EMC2925,A1466,Early 2015,"MacBookAir7,2",820-00165
MacBook Air,13,EMC 3178,A1466,2017,"MacBookAir7,2",820-00165
MacBook Air,13,EMC 3184,A1932,Late 2018,"MacBookAir8,1",820-01521
MacBook Air,13,EMC 3184,A1932,True Tone 2019,"MacBookAir8,2",820-01521
MacBook Air,13,EMC 3302,A2179,Early 2020,"MacBookAir9,1",820-01958
MacBook Air,13,EMC 3598,A2337,Late 2020 M1,"MacBookAir10,1",820-02016
MacBook Air,13,EMC 4074,A2681,Mid 2022 M2,"Mac14,2",820-02536
MacBook Pro Unibody,13,EMC 2326,A1278,Mid 2009,"MacBookPro5,5",820-2530
MacBook Pro Unibody,13,EMC 2351,A1278,Mid 2010,"MacBookPro7,1",820-2879
MacBook Pro Unibody,13,EMC 2419,A1278,Early 2011,"MacBookPro8,1",820-2936
MacBook Pro Unibody,13,EMC 2555,A1278,Late 2011,"MacBookPro8,1",820-2936
MacBook Pro Unibody,13,EMC 2554,A1278,Mid 2012,"MacBookPro9,2",820-3115
MacBook Pro Unibody,15,EMC 2255,A1286,Late 2008,"MacBookPro5,1",820-2330
MacBook Pro Unibody,15,EMC 2325,A1286,Mid 2009,"MacBookPro5,3","820-2532, 820-2330"
MacBook Pro Unibody,15,EMC 2324,A1286,Mid 2009 2.5Ghz,"MacBookPro5,4",820-2533
MacBook Pro Unibody,15,EMC 2353,A1286,Mid 2010,"MacBookPro6,2",820-2850
MacBook Pro Unibody,15,EMC 2353-1,A1286,Early 2011,"MacBookPro8,2",820-2915
MacBook Pro Unibody,15,EMC 2363,A1286,Late 2011,"MacBookPro8,2",820-2915
MacBook Pro Unibody,15,EMC 2556,A1286,Mid 2012,"MacBookPro9,1",820-3330
MacBook Pro Unibody,17,EMC 2272,A1297,Early 2009,"MacBookPro5,2",820-2390
MacBook Pro Unibody,17,EMC 2329,A1297,Mid 2009,"MacBookPro5,2",820-2610
MacBook Pro Unibody,17,EMC 2352,A1297,Mid 2010,"MacBookPro6,1",820-2849
MacBook Pro Unibody,17,EMC 2352-1,A1297,Early 2011,"MacBookPro8,3",820-2914
MacBook Pro Unibody,17,EMC 2564,A1297,Late 2011,"MacBookPro8,3",820-2914
